"word","count"
"place",58487
"  ",50035
"food",44091
"good",41800
"service",18144
"great",15581
"chicken",15035
"ambience",14681
"time",13821
"ordered",11884
"nice",11198
"visit",10574
"taste",10125
"menu",8980
"restaurant",8445
"starters",7408
"table",7341
"friends",7336
"ambiance",7231
"veg",7104
"experience",7084
"bangalore",7072
"staff",6772
"amazing",6669
"served",6610
"love",6508
"music",6400
"awesome",6288
"beer",6208
"people",6110
"worth",6055
"main",6036
"order",5468
"back",5311
"pretty",5243
"bit",5213
"loved",5129
"drinks",5073
"made",5026
"dishes",4953
"buffet",4795
"lot",4785
"cheese",4737
"perfect",4641
"make",4624
":)",4591
"quality",4345
"feel",4293
"desserts",4283
"delicious",4178
"decent",3994
"dish",3968
"lunch",3897
"biryani",3888
"thing",3820
"long",3802
"places",3725
"chocolate",3715
"wait",3643
"serve",3637
"times",3603
"fish",3600
"sauce",3599
"dinner",3578
"day",3507
"evening",3491
"burger",3445
"seating",3433
"average",3417
"tasted",3406
"big",3323
"bad",3311
"small",3302
"variety",3295
"give",3228
"price",3226
"eat",3222
"night",3222
"indian",3214
"visited",3172
"recommend",3136
"tasty",3114
"rice",3087
"crowd",3054
"money",3033
"floor",3024
"find",3023
"excellent",2990
"special",2955
"items",2954
"meal",2917
"pizza",2912
"dessert",2900
"spicy",2890
"options",2882
"friendly",2856
"ice",2826
"paneer",2811
"breakfast",2810
"coffee",2746
"friend",2721
"top",2716
"hot",2667
"sunday",2665
"coming",2630
"side",2625
"full",2623
"waiting",2615
"crowded",2586
"cafe",2565
"fresh",2556
"road",2553
"enjoy",2541
"cream",2527
"burgers",2506
"quantity",2489
"open",2483
"pasta",2482
"decided",2445
"part",2425
"sweet",2420
"masala",2410
"bar",2362
"waiters",2346
"drink",2339
"high",2332
"makes",2314
"vegetarian",2311
"huge",2305
"cooked",2298
"tables",2289
"4/5",2274
"couple",2249
"cake",2245
"disappointed",2230
"finally",2219
"happy",2214
"dosa",2206
"family",2199
"found",2189
"area",2169
"expensive",2163
"asked",2144
"spread",2123
"kind",2104
"live",2063
"soup",2061
"end",2056
"decor",2053
"restaurants",2049
"salad",2044
"steak",2018
"fried",1988
"things",1977
"city",1956
"felt",1912
"yummy",1912
"quick",1908
"wings",1907
"view",1902
"absolutely",1894
"lovely",1884
"waiter",1874
"bread",1872
"beef",1861
"started",1843
"sit",1842
"serving",1838
"inside",1831
"bill",1828
"beautiful",1828
"mutton",1799
"curry",1779
"soft",1773
"group",1771
"tea",1756
"authentic",1754
"weekend",1736
"wanted",1734
"mind",1730
"meat",1723
"space",1718
"courteous",1713
"mouth",1707
"heard",1698
"located",1692
"cocktails",1690
"simply",1683
"saturday",1683
"choice",1681
"recommended",1675
"butter",1658
"nachos",1645
"hangout",1621
"prices",1613
"garlic",1609
"home",1601
"fine",1599
"grilled",1594
"cold",1589
"red",1581
"eating",1580
"extremely",1578
"!!",1565
"fun",1564
"starter",1557
"enjoyed",1551
"biriyani",1549
"rating",1547
"hard",1544
"review",1543
"house",1533
"thought",1532
"totally",1515
"priced",1505
"interiors",1481
"minutes",1477
"egg",1464
"simple",1460
"italian",1453
"light",1440
"hang",1439
"lovers",1438
"pork",1431
"start",1430
"wonderful",1425
"crispy",1421
"prawns",1421
"reviews",1419
"dining",1407
"fries",1405
"location",1394
"person",1387
"cool",1386
"super",1385
"guys",1381
"style",1381
"highly",1378
"told",1371
"slow",1370
"water",1369
"potato",1362
"punjabi",1353
"till",1346
"weekends",1345
"parking",1340
"cuisine",1336
"left",1334
"miss",1327
"mushroom",1323
"north",1311
"chutney",1303
"mexican",1300
"brilliant",1282
"sitting",1281
"afternoon",1276
"fan",1275
"visiting",1271
"beers",1266
"favorite",1262
"half",1261
"counter",1254
"regular",1251
"hours",1250
"list",1248
"offer",1248
"portions",1245
